Title,Product Type and Company,City,Price,Link of product
Ipad mini with 3g/wifi 16GB,Tablets » iPads,Guwahati,15000,http://olx.in/item/ipad-mini-with-3g-wifi-16gb-IDVzDHD.html#058dd9579b
acer tablet Model No. TA71CA1 new,Tablets » Acer,Nagaon,8000,http://olx.in/item/acer-tablet-model-no-ta71ca1-new-IDVztXP.html#058dd9579b
I want to sell my lenovo idea tab a3000 at 50% off...its a calling tab,Tablets » Lenovo,Silchar,8500,http://olx.in/item/i-want-to-sell-my-lenovo-idea-tab-a3000-at-50-off-its-a-calling-tab-IDVzrkb.html#058dd9579b
"acer tablet without sim, model no. TA71CA1 New",Tablets » Other Tablets,Nagaon,8000,http://olx.in/item/acer-tablet-without-sim-model-no-ta71ca1-new-IDVzp0F.html#058dd9579b
Micromax canvas night a29o,Tablets » Micromax,Guwahati,7499,http://olx.in/item/micromax-canvas-night-a29o-IDVzkjF.html#058dd9579b
Sell my Swipe Calling Tab,Tablets » Other Tablets,Guwahati,2100,http://olx.in/item/sell-my-swipe-calling-tab-IDVziWJ.html#058dd9579b
samsung tab 4 in 10.1 inch,Tablets » Samsung,Dibrugarh,18000,http://olx.in/item/samsung-tab-4-in-10-1-inch-IDVzeuD.html#058dd9579b
Ophone 3G calling tablet,Tablets » Other Tablets,Guwahati,6000,http://olx.in/item/ophone-3g-calling-tablet-IDVzb3j.html#058dd9579b
acer intel inside at rs 3500,Tablets » Acer,Silchar,3500,http://olx.in/item/acer-intel-inside-at-rs-3500-IDVza6x.html#058dd9579b
I Ball Slide 7271 HD70,Tablets » iBall,Silchar,5000,http://olx.in/item/i-ball-slide-7271-hd70-IDVz9rF.html#058dd9579b
Epson 220 model new condition,Tablets » Other Tablets,Guwahati,9500,http://olx.in/item/epson-220-model-new-condition-IDVyODp.html#058dd9579b
Samsung galaxy s duos 2 at good Condition,Tablets » Samsung,Bongaigaon,5498,http://olx.in/item/samsung-galaxy-s-duos-2-at-good-condition-IDVyIOW.html#058dd9579b
